taxid	node	rank	n_children	n_tips	is_polytomy
176938	Chloroceryle aenea	SPECIES	1	1	0
1218682	Chloropsis cyanopogon	SPECIES	1	1	0
667144	Chloropsis hardwickii	SPECIES	1	1	0
52775	Ciconia boyciana	SPECIES	1	1	0
321084	Circaetus pectoralis	SPECIES	1	1	0
683832	Cirrhinus mrigala	SPECIES	1	1	0
52622	Cisticola juncidis	SPECIES	1	1	0
47695	Climacteris rufus	SPECIES	1	1	0
3371016	Cnephaeus nilssonii	SPECIES	1	1	0
57412	Colius striatus	SPECIES	1	1	0
129043	Cololabis saira	SPECIES	1	1	0
115618	Columbina picui	SPECIES	1	1	0
82655	Conger conger	SPECIES	1	1	0
797021	Copsychus sechellarum	SPECIES	1	1	0
85066	Corvus brachyrhynchos	SPECIES	1	1	0
103956	Corythaixoides concolor	SPECIES	1	1	0
10029	Cricetulus griseus	SPECIES	1	1	0
458187	Crypturellus soui	SPECIES	1	1	0
48396	Crypturellus undulatus	SPECIES	1	1	0
55661	Cuculus canorus	SPECIES	1	1	0
110931	Cynocephalus volans	SPECIES	1	1	0
7955	Danio rerio	SPECIES	1	1	0
9361	Dasypus novemcinctus	SPECIES	1	1	0
428446	Datnioides polota	SPECIES	1	1	0
77932	Diceros bicornis minor	SUBSPECIES	1	1	0
88682	Diretmus argenteus	SPECIES	1	1	0
100907	Dissostichus eleginoides	SPECIES	1	1	0
36200	Dissostichus mawsoni	SPECIES	1	1	0
8790	Dromaius novaehollandiae	SPECIES	1	1	0
33562	Dromiciops gliroides	SPECIES	1	1	0
626378	Drymodes brunneopygia	SPECIES	1	1	0
118200	Dryobates pubescens	SPECIES	1	1	0
85069	Dryoscopus gambensis	SPECIES	1	1	0
7834	Echinorhinus cookei	SPECIES	1	1	0
188379	Egretta garzetta	SPECIES	1	1	0
1463973	Elachura formosa	SPECIES	1	1	0
8005	Electrophorus electricus	SPECIES	1	1	0
28737	Elephantulus edwardii	SPECIES	1	1	0
99487	Elephas maximus indicus	SUBSPECIES	1	1	0
57060	Eleutherodactylus coqui	SPECIES	1	1	0
337179	Emberiza fucata	SPECIES	1	1	0
184585	Engraulis encrasicolus	SPECIES	1	1	0
161455	Entelurus aequoreus	SPECIES	1	1	0
89248	Equus quagga	SPECIES	1	1	0
27687	Erpetoichthys calabaricus	SPECIES	1	1	0
1112836	Erpornis zantholeuca	SPECIES	1	1	0
8010	Esox lucius	SPECIES	1	1	0
91767	Eubucco bourcierii	SPECIES	1	1	0
54383	Eurypyga helias	SPECIES	1	1	0
8954	Falco peregrinus	SPECIES	1	1	0
30455	Fulmarus glacialis	SPECIES	1	1	0
463165	Furnarius figulus	SPECIES	1	1	0
8049	Gadus morhua	SPECIES	1	1	0
9123	Gallinula chloropus	SPECIES	1	1	0
9031	Gallus gallus	SPECIES	1	1	0
33528	Gambusia affinis	SPECIES	1	1	0
37040	Gavia stellata	SPECIES	1	1	0
154954	Genypterus blacodes	SPECIES	1	1	0
8947	Geococcyx californianus	SPECIES	1	1	0
439328	Giraffa tippelskirchi	SPECIES	1	1	0
43316	Glareola pratincola	SPECIES	1	1	0
85417	Gobius niger	SPECIES	1	1	0
208336	Goodea atripinnis	SPECIES	1	1	0
286002	Gopherus flavomarginatus	SPECIES	1	1	0
441366	Gouania willdenowi	SPECIES	1	1	0
191870	Gracilinanus agilis	SPECIES	1	1	0
266360	Grantiella picta	SPECIES	1	1	0
1263181	Guentherus altivela	SPECIES	1	1	0
33616	Gymnogyps californianus	SPECIES	1	1	0
8969	Haliaeetus albicilla	SPECIES	1	1	0
884348	Hemicordylus capensis	SPECIES	1	1	0
243314	Hemiprocne comata	SPECIES	1	1	0
2704970	Hemitrygon akajei	SPECIES	1	1	0
212740	Heptranchias perlo	SPECIES	1	1	0
7792	Heterodontus francisci	SPECIES	1	1	0
77598	Heterohyrax brucei	SPECIES	1	1	0
54904	Hiodon alosoides	SPECIES	1	1	0
68497	Hippolais icterina	SPECIES	1	1	0
9606	Homo sapiens	SPECIES	1	1	0
27720	Hoplias malabaricus	SPECIES	1	1	0
2585811	Horornis vulcanius	SPECIES	1	1	0
247094	Hymenochirus boettgeri	SPECIES	1	1	0
589841	Hypocryptadius cinnamomeus	SPECIES	1	1	0
182223	Hypomesus nipponensis	SPECIES	1	1	0
33524	Ilyodon furcidens	SPECIES	1	1	0
2546036	Lampris incognitus	SPECIES	1	1	0
245042	Lamprotornis superbus	SPECIES	1	1	0
35669	Larus argentatus	SPECIES	1	1	0
270547	Lates japonicus	SPECIES	1	1	0
678569	Lathamus discolor	SPECIES	1	1	0
8630	Laticauda laticaudata	SPECIES	1	1	0
7897	Latimeria chalumnae	SPECIES	1	1	0
36275	Leiothrix lutea	SPECIES	1	1	0
89578	Lepidogalaxias salamandroides	SPECIES	1	1	0
7918	Lepisosteus oculatus	SPECIES	1	1	0
188344	Leptosomus discolor	SPECIES	1	1	0
42731	Lestoros inca	SPECIES	1	1	0
127929	Leucopsar rothschildi	SPECIES	1	1	0
1758121	Limosa lapponica baueri	SUBSPECIES	1	1	0
230148	Liparis tanakae	SPECIES	1	1	0
256425	Lissotriton helveticus	SPECIES	1	1	0
64802	Loxia curvirostra	SPECIES	1	1	0
211835	Lutjanus erythropterus	SPECIES	1	1	0
9544	Macaca mulatta	SPECIES	1	1	0
92651	Macrotis lagotis	SPECIES	1	1	0
328815	Manacus vitellinus	SPECIES	1	1	0
143292	Manis pentadactyla	SPECIES	1	1	0
205130	Mastacembelus armatus	SPECIES	1	1	0
118141	Megalops cyprinoides	SPECIES	1	1	0
47692	Menura novaehollandiae	SPECIES	1	1	0
57421	Merops nubicus	SPECIES	1	1	0
54374	Mesitornis unicolor	SPECIES	1	1	0
90074	Microchirus variegatus	SPECIES	1	1	0
147949	Micropterus dolomieu	SPECIES	1	1	0
254557	Mionectes macconnelli	SPECIES	1	1	0
630683	Muraenolepis orangiensis	SPECIES	1	1	0
10090	Mus musculus	SPECIES	1	1	0
33587	Mycteria americana	SPECIES	1	1	0
381031	Myiagra hebetior	SPECIES	1	1	0
586833	Myripristis murdjan	SPECIES	1	1	0
98133	Mystacornis crossleyi	SPECIES	1	1	0
7769	Myxine glutinosa	SPECIES	1	1	0
473322	Nannobrachium achirus	SPECIES	1	1	0
443705	Nansenia antarctica	SPECIES	1	1	0
1343680	Narcine bancroftii	SPECIES	1	1	0
443677	Neoarius graeffei	SPECIES	1	1	0
254563	Neodrepanis coruscans	SPECIES	1	1	0
452646	Neogale vison	SPECIES	1	1	0
176057	Nestor notabilis	SPECIES	1	1	0
240163	Nibea albiflora	SPECIES	1	1	0
128390	Nipponia nippon	SPECIES	1	1	0
9315	Notamacropus eugenii	SPECIES	1	1	0
105023	Nothobranchius furzeri	SPECIES	1	1	0
30464	Nothoprocta perdicaria	SPECIES	1	1	0
948063	Notolepis coatsorum	SPECIES	1	1	0
37699	Notoryctes typhlops	SPECIES	1	1	0
101497	Notothenia rossii	SPECIES	1	1	0
48427	Nyctibius grandis	SPECIES	1	1	0
382315	Nyctiprogne leucopyga	SPECIES	1	1	0
30419	Opisthocomus hoazin	SPECIES	1	1	0
689266	Oreotrochilus melanogaster	SPECIES	1	1	0
720586	Origma solitaria	SPECIES	1	1	0
9258	Ornithorhynchus anatinus	SPECIES	1	1	0
1230840	Orycteropus afer afer	SUBSPECIES	1	1	0
9986	Oryctolagus cuniculus	SPECIES	1	1	0
98144	Oxylabes madagascariensis	SPECIES	1	1	0
114331	Oxyruncus cristatus	SPECIES	1	1	0
1676925	Paramormyrops kingsleyae	SPECIES	1	1	0
254575	Pardalotus punctatus	SPECIES	1	1	0
548269	Parequula melbournensis	SPECIES	1	1	0
227192	Pedionomus torquatus	SPECIES	1	1	0
36300	Pelecanus crispus	SPECIES	1	1	0
3127111	Pempheris klunzingeri	SPECIES	1	1	0
7757	Petromyzon marinus	SPECIES	1	1	0
37045	Phaethon aethereus	SPECIES	1	1	0
97097	Phaethon lepturus	SPECIES	1	1	0
9209	Phalacrocorax carbo	SPECIES	1	1	0
9218	Phoenicopterus ruber ruber	SUBSPECIES	1	1	0
58324	Phoxinus phoxinus	SPECIES	1	1	0
257867	Platalea leucorodia	SPECIES	1	1	0
334891	Platax teira	SPECIES	1	1	0
345573	Podiceps cristatus	SPECIES	1	1	0
9252	Podilymbus podiceps	SPECIES	1	1	0
48891	Poecile atricapillus	SPECIES	1	1	0
66707	Polioptila caerulea	SPECIES	1	1	0
143326	Polymixia lowei	SPECIES	1	1	0
7913	Polyodon spathula	SPECIES	1	1	0
932028	Pomatorhinus ruficollis	SPECIES	1	1	0
9176	Pomatostomus ruficeps	SPECIES	1	1	0
48723	Pontoporia blainvillei	SPECIES	1	1	0
88708	Poromitra crassiceps	SPECIES	1	1	0
1609310	Pristigenys meyeri	SPECIES	1	1	0
685728	Pristis pectinata	SPECIES	1	1	0
7888	Protopterus annectens	SPECIES	1	1	0
2585815	Psilopogon haemacephalus	SPECIES	1	1	0
2585816	Pterocles burchelli	SPECIES	1	1	0
240206	Pterocles gutturalis	SPECIES	1	1	0
449384	Ptilorrhoa leucosticta	SPECIES	1	1	0
310352	Pygathrix nigripes	SPECIES	1	1	0
9238	Pygoscelis adeliae	SPECIES	1	1	0
64278	Quiscalus mexicanus	SPECIES	1	1	0
223862	Raja brachyura	SPECIES	1	1	0
304217	Rhamphochromis longiceps	SPECIES	1	1	0
8795	Rhea pennata	SPECIES	1	1	0
194408	Rhinatrema bivittatum	SPECIES	1	1	0
118793	Rostratula benghalensis	SPECIES	1	1	0
59482	Saccopteryx bilineata	SPECIES	1	1	0
9490	Saguinus oedipus	SPECIES	1	1	0
8030	Salmo salar	SPECIES	1	1	0
13676	Scomber japonicus	SPECIES	1	1	0
75743	Scyliorhinus torazame	SPECIES	1	1	0
312124	Scytalopus superciliaris	SPECIES	1	1	0
91796	Semnornis frantzii	SPECIES	1	1	0
