accession	organism	taxid	status	path
GCA_023974075.1	Chaenocephalus aceratus	36190	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Perciformes > Notothenioidei > Channichthyidae > Chaenocephalus > Chaenocephalus aceratus
GCA_031216635.1	Dissostichus eleginoides	100907	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Perciformes > Notothenioidei > Nototheniidae > Dissostichus > Dissostichus eleginoides
GCA_011823955.1	Dissostichus mawsoni	36200	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Perciformes > Notothenioidei > Nototheniidae > Dissostichus > Dissostichus mawsoni
GCA_050084785.1	Liparis tanakae	230148	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Perciformes > Cottioidei > Cottales > Liparidae > Liparis > Liparis tanakae
GCF_949606895.1	Notothenia rossii	101497	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Perciformes > Notothenioidei > Nototheniidae > Notothenia > Notothenia rossii
GCA_046255725.1	Amblyopsis spelaea	1195602	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Paracanthopterygii > Percopsaria > Percopsiformes > Aphredoderoidei > Amblyopsidae > Amblyopsis > Amblyopsis spelaea
GCF_963457635.1	Microchirus variegatus	90074	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Carangaria > Pleuronectiformes > Pleuronectoidei > Soleidae > Microchirus > Microchirus variegatus
GCA_047511595.1	Polymixia lowei	143326	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Polymixiacea > Polymixiiformes > Polymixiidae > Polymixia > Polymixia lowei
GCA_056506795.1	Pristigenys meyeri	1609310	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Priacanthiformes > Priacanthidae > Pristigenys > Pristigenys meyeri
GCF_965601325.1	Salmo salar	8030	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Protacanthopterygii > Salmoniformes > Salmonidae > Salmoninae > Salmo > Salmo salar
GCF_027409825.1	Scomber japonicus	13676	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Pelagiaria > Scombriformes > Scombridae > Scombrinae > Scombrini > Scomber > Scomber japonicus
GCA_043380575.1	Atractosteus spatula	7917	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Holostei > Semionotiformes > Lepisosteidae > Atractosteus > Atractosteus spatula
GCF_040954835.1	Lepisosteus oculatus	7918	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Holostei > Semionotiformes > Lepisosteidae > Lepisosteus > Lepisosteus oculatus
GCF_027579695.1	Neoarius graeffei	443677	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Otomorpha > Ostariophysi > Otophysi > Characiphysae > Siluriformes > Siluroidei > Ariidae > Neoarius > Neoarius graeffei
GCF_900880675.2	Sparus aurata	8175	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Spariformes > Sparidae > Sparus > Sparus aurata
GCF_949987555.1	Borostomias antarcticus	473354	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Stomiati > Stomiiformes > Stomiidae > Astronesthinae > Borostomias > Borostomias antarcticus
GCA_056824565.1	Stylephorus chordatus	409996	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Paracanthopterygii > Zeiogadaria > Gadariae > Stylephoriformes > Stylephoridae > Stylephorus > Stylephorus chordatus
GCF_900324485.3	Mastacembelus armatus	205130	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Anabantaria > Synbranchiformes > Mastacembeloidei > Mastacembelidae > Mastacembelus > Mastacembelus armatus
GCF_033978785.1	Entelurus aequoreus	161455	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Syngnathiaria > Syngnathiformes > Syngnathoidei > Syngnathidae > Syngnathinae > Entelurus > Entelurus aequoreus
GCF_901000725.3	Takifugu rubripes	31033	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Tetraodontiformes > Tetraodontoidei > Tetradontoidea > Tetraodontidae > Takifugu > Takifugu rubripes
GCA_048569125.1	Diretmus argenteus	88682	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Berycimorphaceae > Trachichthyiformes > Diretmidae > Diretmus > Diretmus argenteus
GCF_949987685.1	Ammodytes marinus	146480	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Euacanthomorphacea > Percomorphaceae > Eupercaria > Uranoscopiformes > Ammodytidae > Ammodytes > Ammodytes marinus
GCF_960531495.1	Zeus faber	64108	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Actinopterygii > Actinopteri > Neopterygii > Teleostei > Osteoglossocephalai > Clupeocephala > Euteleosteomorpha > Neoteleostei > Eurypterygia > Ctenosquamata > Acanthomorphata > Paracanthopterygii > Zeiogadaria > Zeariae > Zeiformes > Zeidae > Zeus > Zeus faber
GCF_042186555.1	Aquarana catesbeiana	8400	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Neobatrachia > Ranoidea > Ranidae > Aquarana > Aquarana catesbeiana
GCF_027579735.1	Bombina bombina	8345	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Bombinatoridae > Bombina > Bombina bombina
GCF_035609145.1	Eleutherodactylus coqui	57060	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Neobatrachia > Hyloidea > Eleutherodactylidae > Eleutherodactylinae > Eleutherodactylus > Eleutherodactylus > Eleutherodactylus coqui
GCA_019447015.1	Hymenochirus boettgeri	247094	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Pipinae > Hymenochirus > Hymenochirus boettgeri
GCA_951230385.1	Staurois parvus	386267	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Neobatrachia > Ranoidea > Ranidae > Staurois > Staurois parvus
GCF_000004195.4	Xenopus tropicalis	8364	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Anura > Pipoidea > Pipidae > Xenopodinae > Xenopus > Silurana > Xenopus tropicalis
GCF_964261635.1	Lissotriton helveticus	256425	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Batrachia > Caudata > Salamandroidea > Salamandridae > Pleurodelinae > Lissotriton > Lissotriton helveticus
GCF_901001135.2	Rhinatrema bivittatum	194408	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amphibia > Gymnophiona > Rhinatrematidae > Rhinatrema > Rhinatrema bivittatum
GCA_000699945.1	Cathartes aura	43455	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Accipitrimorphae > Accipitriformes > Cathartidae > Cathartes > Cathartes aura
GCA_035590135.1	Circaetus pectoralis	321084	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Accipitrimorphae > Accipitriformes > Accipitridae > Accipitrinae > Circaetus > Circaetus pectoralis
GCF_018139145.2	Gymnogyps californianus	33616	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Accipitrimorphae > Accipitriformes > Cathartidae > Gymnogyps > Gymnogyps californianus
GCF_947461875.1	Haliaeetus albicilla	8969	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Accipitrimorphae > Accipitriformes > Accipitridae > Accipitrinae > Haliaeetus > Haliaeetus albicilla
GCF_047663525.1	Anas platyrhynchos	8839	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Galloanserae > Anseriformes > Anatidae > Anatinae > Anas > Anas platyrhynchos
GCF_020740795.1	Apus apus	8895	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Apodiformes > Apodidae > Apodinae > Apus > Apus apus
GCF_003957555.1	Calypte anna	9244	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Apodiformes > Trochilidae > Calypte > Calypte anna
GCF_000747805.2	Chaetura pelagica	8897	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Apodiformes > Apodidae > Apodinae > Chaetura > Chaetura pelagica
GCA_020745705.1	Hemiprocne comata	243314	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Apodiformes > Apodidae > Hemiprocninae > Hemiprocne > Hemiprocne comata
GCA_013400995.1	Oreotrochilus melanogaster	689266	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Apodiformes > Trochilidae > Oreotrochilus > Oreotrochilus melanogaster
GCF_036417845.1	Apteryx mantelli	2696672	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Palaeognathae > Apterygiformes > Apterygidae > Apteryx > Apteryx mantelli
GCF_000710305.1	Buceros rhinoceros silvestris	175836	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Bucerotiformes > Bucerotidae > Buceros > Buceros rhinoceros > Buceros rhinoceros silvestris
GCA_009769605.1	Bucorvus abyssinicus	153643	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Bucerotiformes > Bucorvidae > Bucorvus > Bucorvus abyssinicus
GCA_013398125.1	Aegotheles bennettii	48278	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Caprimulgiformes > Aegothelidae > Aegotheles > Aegotheles bennettii
GCF_000700745.2	Antrostomus carolinensis	279965	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Caprimulgiformes > Caprimulgidae > Antrostomus > Antrostomus carolinensis
GCF_907165065.1	Caprimulgus europaeus	111811	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Caprimulgiformes > Caprimulgidae > Caprimulginae > Caprimulgus > Caprimulgus europaeus
GCA_013399395.1	Nyctiprogne leucopyga	382315	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Caprimulgiformes > Caprimulgidae > Chordeilinae > Nyctiprogne > Nyctiprogne leucopyga
GCA_054099775.1	Steatornis caripensis	48435	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Strisores > Caprimulgiformes > Steatornithidae > Steatornis > Steatornis caripensis
GCF_000690535.1	Cariama cristata	54380	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Australaves > Cariamiformes > Cariamidae > Cariama > Cariama cristata
GCF_036370855.1	Dromaius novaehollandiae	8790	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Palaeognathae > Casuariiformes > Dromaiidae > Dromaius > Dromaius novaehollandiae
GCA_008658365.1	Alca torda	28689	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Alcidae > Alca > Alca torda
GCF_000708025.1	Charadrius vociferus	50402	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Charadriidae > Charadrius > Charadrius vociferus
GCA_013401295.1	Glareola pratincola	43316	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Glareolidae > Glareola > Glareola pratincola
GCF_964417175.1	Larus argentatus	35669	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Laridae > Larus > Larus argentatus
GCA_002844005.1	Limosa lapponica baueri	1758121	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Scolopacidae > Limosa > Limosa lapponica > Limosa lapponica baueri
GCA_013398155.1	Pedionomus torquatus	227192	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Pedionomidae > Pedionomus > Pedionomus torquatus
GCA_013399305.1	Rostratula benghalensis	118793	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Charadriiformes > Rostratulidae > Rostratula > Rostratula benghalensis
GCF_034638445.1	Ciconia boyciana	52775	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Aequornithes > Ciconiiformes > Ciconiidae > Ciconia > Ciconia boyciana
GCF_035582795.1	Mycteria americana	33587	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Aequornithes > Ciconiiformes > Ciconiidae > Mycteria > Mycteria americana
GCF_028858725.1	Colius striatus	57412	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coliiformes > Coliidae > Colius > Colius striatus
GCA_013401255.1	Urocolius indicus	458196	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coliiformes > Coliidae > Urocolius > Urocolius indicus
GCF_036013445.1	Caloenas nicobarica	187106	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Columbimorphae > Columbiformes > Columbidae > Caloenas > Caloenas nicobarica
GCA_013397635.1	Columbina picui	115618	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Columbimorphae > Columbiformes > Columbidae > Columbina > Columbina picui
GCA_013396935.1	Baryphthengus martii	176943	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coraciiformes > Momotidae > Baryphthengus > Baryphthengus martii
GCA_013401355.1	Ceyx cyanopectus	390723	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coraciiformes > Alcedinidae > Ceyx > Ceyx cyanopectus
GCA_013399075.1	Chloroceryle aenea	176938	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coraciiformes > Cerylidae > Chloroceryle > Chloroceryle aenea
GCF_000691845.1	Merops nubicus	57421	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coraciiformes > Meropidae > Merops > Merops nubicus
GCA_013389965.1	Todus mexicanus	135184	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Telluraves > Coraciimorphae > Coraciiformes > Todidae > Todus > Todus mexicanus
GCA_013400815.1	Centropus bengalensis	1463675	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Otidimorphae > Cuculiformes > Centropidae > Centropus > Centropus bengalensis
GCA_013398935.1	Ceuthmochares aereus	1961834	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Otidimorphae > Cuculiformes > Cuculidae > Ceuthmochares > Ceuthmochares aereus
GCF_017976375.1	Cuculus canorus	55661	placed	Vertebrata > Gnathostomata > Teleostomi > Euteleostomi > Sarcopterygii > Dipnotetrapodomorpha > Tetrapoda > Amniota > Sauropsida > Sauria > Archelosauria > Archosauria > Dinosauria > Saurischia > Theropoda > Coelurosauria > Aves > Neognathae > Neoaves > Otidimorphae > Cuculiformes > Cuculidae > Cuculus > Cuculus canorus
