topology	variant	event	species_node	n_gene_leaves	paralog_groups	implied_losses	gene_node_support	n_children
bnni	with_cyclostome	duplication	Boreoeutheria	5	ITPR3	2	100/100	2
bnni	with_cyclostome	speciation	Muridae	2	ITPR3	0	100/100	2
bnni	with_cyclostome	speciation	Boreoeutheria	3	ITPR3	2	44.5/55	2
bnni	with_cyclostome	speciation	Primates	2	ITPR3	0	95.1/93	2
bnni	with_cyclostome	speciation	Sauria	6	ITPR3	1	94.4/94	2
bnni	with_cyclostome	speciation	Lepidosauria	2	ITPR3	2	87.5/87	2
bnni	with_cyclostome	speciation	Neognathae	4	ITPR3	0	99.2/100	2
bnni	with_cyclostome	speciation	Telluraves	3	ITPR3	1	75.9/74	2
bnni	with_cyclostome	speciation	Passerida	2	ITPR3	0	98.6/100	2
bnni	with_cyclostome	speciation	Gnathostomata	13	ITPR2	0	100/100	2
bnni	with_cyclostome	speciation	Chondrichthyes	3	ITPR2	0	100/100	2
