topology	variant	event	species_node	n_gene_leaves	paralog_groups	implied_losses	gene_node_support	n_children
H3_23	with_cyclostome	duplication	Vertebrata	53	ITPR1+ITPR2+ITPR3+unplaced	1		2
H3_23	with_cyclostome	speciation	Gnathostomata	19	ITPR1	0		2
H3_23	with_cyclostome	duplication	Osteichthyes	15	ITPR1	2		2
H3_23	with_cyclostome	speciation	Osteichthyes	13	ITPR1	1		2
H3_23	with_cyclostome	speciation	Tetrapoda	7	ITPR1	1		2
H3_23	with_cyclostome	duplication	Amniota	6	ITPR1	2		2
H3_23	with_cyclostome	speciation	Aves	2	ITPR1	1		2
H3_23	with_cyclostome	speciation	Amniota	4	ITPR1	4		2
H3_23	with_cyclostome	duplication	Boreoeutheria	3	ITPR1	3		2
H3_23	with_cyclostome	speciation	Boreoeutheria	2	ITPR1	3		2
H3_23	with_cyclostome	duplication	Clupeocephala	6	ITPR1	1		2
H3_23	with_cyclostome	speciation	Ostariophysi	2	ITPR1	0		2
H3_23	with_cyclostome	speciation	Clupeocephala	4	ITPR1	2		2
H3_23	with_cyclostome	speciation	Ostariophysi	3	ITPR1	0		2
H3_23	with_cyclostome	duplication	Danio_rerio	2	ITPR1	0		2
H3_23	with_cyclostome	duplication	Latimeria_chalumnae	2	ITPR1	0		2
H3_23	with_cyclostome	speciation	Chondrichthyes	4	ITPR1	0		2
H3_23	with_cyclostome	duplication	Callorhinchus_milii	2	ITPR1	0		2
H3_23	with_cyclostome	speciation	Elasmobranchii	2	ITPR1	1		2
H3_23	with_cyclostome	speciation	Vertebrata	34	ITPR2+ITPR3+unplaced	0		2
H3_23	with_cyclostome	speciation	Cyclostomata	2	unplaced	0		2
H3_23	with_cyclostome	duplication	Gnathostomata	32	ITPR2+ITPR3	0		2
H3_23	with_cyclostome	speciation	Gnathostomata	19	ITPR3	0		2
H3_23	with_cyclostome	speciation	Chondrichthyes	3	ITPR3	0		2
H3_23	with_cyclostome	speciation	Elasmobranchii	2	ITPR3	1		2
H3_23	with_cyclostome	duplication	Osteichthyes	16	ITPR3	2		2
H3_23	with_cyclostome	speciation	Osteichthyes	3	ITPR3	1		2
H3_23	with_cyclostome	speciation	Clupeocephala	2	ITPR3	3		2
H3_23	with_cyclostome	speciation	Tetrapoda	13	ITPR3	0		2
H3_23	with_cyclostome	speciation	Pipidae	2	ITPR3	0		2
H3_23	with_cyclostome	speciation	Amniota	11	ITPR3	0		2
H3_23	with_cyclostome	duplication	Boreoeutheria	5	ITPR3	2		2
H3_23	with_cyclostome	speciation	Muridae	2	ITPR3	0		2
H3_23	with_cyclostome	speciation	Boreoeutheria	3	ITPR3	2		2
H3_23	with_cyclostome	speciation	Primates	2	ITPR3	0		2
H3_23	with_cyclostome	speciation	Sauria	6	ITPR3	1		2
H3_23	with_cyclostome	speciation	Lepidosauria	2	ITPR3	2		2
H3_23	with_cyclostome	speciation	Neognathae	4	ITPR3	0		2
H3_23	with_cyclostome	speciation	Telluraves	3	ITPR3	1		2
H3_23	with_cyclostome	speciation	Passerida	2	ITPR3	0		2
H3_23	with_cyclostome	speciation	Gnathostomata	13	ITPR2	0		2
H3_23	with_cyclostome	speciation	Chondrichthyes	3	ITPR2	0		2
H3_23	with_cyclostome	speciation	Elasmobranchii	2	ITPR2	1		2
H3_23	with_cyclostome	speciation	Osteichthyes	10	ITPR2	1		2
H3_23	with_cyclostome	speciation	Tetrapoda	7	ITPR2	1		2
H3_23	with_cyclostome	duplication	Amniota	6	ITPR2	4		2
H3_23	with_cyclostome	speciation	Amniota	5	ITPR2	3		2
H3_23	with_cyclostome	speciation	Euarchontoglires	3	ITPR2	1		2
H3_23	with_cyclostome	speciation	Muridae	2	ITPR2	0		2
H3_23	with_cyclostome	speciation	Neognathae	2	ITPR2	2		2
H3_23	with_cyclostome	speciation	Clupeocephala	3	ITPR2	1		2
H3_23	with_cyclostome	speciation	Percomorphaceae	2	ITPR2	1		2
H3_23	with_cyclostome	duplication	Cyclostomata	4	unplaced	0		2
H3_23	with_cyclostome	speciation	Cyclostomata	2	unplaced	0		2
H3_23	with_cyclostome	speciation	Cyclostomata	2	unplaced	0		2
H3_23	without_cyclostome	duplication	Gnathostomata	51	ITPR1+ITPR2+ITPR3	0		2
H3_23	without_cyclostome	speciation	Gnathostomata	19	ITPR1	0		2
H3_23	without_cyclostome	duplication	Osteichthyes	15	ITPR1	2		2
H3_23	without_cyclostome	speciation	Osteichthyes	13	ITPR1	1		2
H3_23	without_cyclostome	speciation	Tetrapoda	7	ITPR1	1		2
H3_23	without_cyclostome	duplication	Amniota	6	ITPR1	2		2
H3_23	without_cyclostome	speciation	Aves	2	ITPR1	1		2
H3_23	without_cyclostome	speciation	Amniota	4	ITPR1	4		2
H3_23	without_cyclostome	duplication	Boreoeutheria	3	ITPR1	3		2
H3_23	without_cyclostome	speciation	Boreoeutheria	2	ITPR1	3		2
H3_23	without_cyclostome	duplication	Clupeocephala	6	ITPR1	1		2
H3_23	without_cyclostome	speciation	Ostariophysi	2	ITPR1	0		2
H3_23	without_cyclostome	speciation	Clupeocephala	4	ITPR1	2		2
H3_23	without_cyclostome	speciation	Ostariophysi	3	ITPR1	0		2
H3_23	without_cyclostome	duplication	Danio_rerio	2	ITPR1	0		2
H3_23	without_cyclostome	duplication	Latimeria_chalumnae	2	ITPR1	0		2
H3_23	without_cyclostome	speciation	Chondrichthyes	4	ITPR1	0		2
H3_23	without_cyclostome	duplication	Callorhinchus_milii	2	ITPR1	0		2
H3_23	without_cyclostome	speciation	Elasmobranchii	2	ITPR1	1		2
H3_23	without_cyclostome	duplication	Gnathostomata	32	ITPR2+ITPR3	0		2
H3_23	without_cyclostome	speciation	Gnathostomata	19	ITPR3	0		2
H3_23	without_cyclostome	speciation	Chondrichthyes	3	ITPR3	0		2
H3_23	without_cyclostome	speciation	Elasmobranchii	2	ITPR3	1		2
H3_23	without_cyclostome	duplication	Osteichthyes	16	ITPR3	2		2
H3_23	without_cyclostome	speciation	Osteichthyes	3	ITPR3	1		2
H3_23	without_cyclostome	speciation	Clupeocephala	2	ITPR3	3		2
H3_23	without_cyclostome	speciation	Tetrapoda	13	ITPR3	0		2
H3_23	without_cyclostome	speciation	Pipidae	2	ITPR3	0		2
H3_23	without_cyclostome	speciation	Amniota	11	ITPR3	0		2
H3_23	without_cyclostome	duplication	Boreoeutheria	5	ITPR3	2		2
H3_23	without_cyclostome	speciation	Muridae	2	ITPR3	0		2
H3_23	without_cyclostome	speciation	Boreoeutheria	3	ITPR3	2		2
H3_23	without_cyclostome	speciation	Primates	2	ITPR3	0		2
H3_23	without_cyclostome	speciation	Sauria	6	ITPR3	1		2
H3_23	without_cyclostome	speciation	Lepidosauria	2	ITPR3	2		2
H3_23	without_cyclostome	speciation	Neognathae	4	ITPR3	0		2
H3_23	without_cyclostome	speciation	Telluraves	3	ITPR3	1		2
H3_23	without_cyclostome	speciation	Passerida	2	ITPR3	0		2
H3_23	without_cyclostome	speciation	Gnathostomata	13	ITPR2	0		2
H3_23	without_cyclostome	speciation	Chondrichthyes	3	ITPR2	0		2
H3_23	without_cyclostome	speciation	Elasmobranchii	2	ITPR2	1		2
H3_23	without_cyclostome	speciation	Osteichthyes	10	ITPR2	1		2
H3_23	without_cyclostome	speciation	Tetrapoda	7	ITPR2	1		2
H3_23	without_cyclostome	duplication	Amniota	6	ITPR2	4		2
H3_23	without_cyclostome	speciation	Amniota	5	ITPR2	3		2
H3_23	without_cyclostome	speciation	Euarchontoglires	3	ITPR2	1		2
H3_23	without_cyclostome	speciation	Muridae	2	ITPR2	0		2
H3_23	without_cyclostome	speciation	Neognathae	2	ITPR2	2		2
H3_23	without_cyclostome	speciation	Clupeocephala	3	ITPR2	1		2
H3_23	without_cyclostome	speciation	Percomorphaceae	2	ITPR2	1		2
bnni	with_cyclostome	duplication	Vertebrata	57	ITPR1+ITPR2+ITPR3+unplaced	1	100/100	2
bnni	with_cyclostome	duplication	Vertebrata	53	ITPR1+ITPR2+ITPR3+unplaced	1	17.7/34	2
bnni	with_cyclostome	speciation	Gnathostomata	19	ITPR1	0	100/100	2
bnni	with_cyclostome	duplication	Osteichthyes	15	ITPR1	2	99.7/100	2
bnni	with_cyclostome	speciation	Osteichthyes	13	ITPR1	1	47.5/73	2
bnni	with_cyclostome	speciation	Tetrapoda	7	ITPR1	1	23.7/66	2
bnni	with_cyclostome	duplication	Amniota	6	ITPR1	2	98.8/100	2
bnni	with_cyclostome	speciation	Aves	2	ITPR1	1	99/100	2
bnni	with_cyclostome	speciation	Amniota	4	ITPR1	4	21/46	2
bnni	with_cyclostome	duplication	Boreoeutheria	3	ITPR1	3	99.7/100	2
bnni	with_cyclostome	speciation	Boreoeutheria	2	ITPR1	3	85.6/70	2
bnni	with_cyclostome	duplication	Clupeocephala	6	ITPR1	1	99.9/100	2
bnni	with_cyclostome	speciation	Ostariophysi	2	ITPR1	0	100/100	2
bnni	with_cyclostome	speciation	Clupeocephala	4	ITPR1	2	99.1/100	2
bnni	with_cyclostome	speciation	Ostariophysi	3	ITPR1	0	100/100	2
bnni	with_cyclostome	duplication	Danio_rerio	2	ITPR1	0	100/100	2
bnni	with_cyclostome	duplication	Latimeria_chalumnae	2	ITPR1	0	100/100	2
bnni	with_cyclostome	speciation	Chondrichthyes	4	ITPR1	0	99.3/100	2
bnni	with_cyclostome	duplication	Callorhinchus_milii	2	ITPR1	0	100/100	2
bnni	with_cyclostome	speciation	Elasmobranchii	2	ITPR1	1	0.9/43	2
bnni	with_cyclostome	speciation	Vertebrata	34	ITPR2+ITPR3+unplaced	0	82.9/65	2
bnni	with_cyclostome	speciation	Cyclostomata	2	unplaced	0	100/100	2
bnni	with_cyclostome	duplication	Gnathostomata	32	ITPR2+ITPR3	0	100/100	2
bnni	with_cyclostome	speciation	Gnathostomata	19	ITPR3	0	100/100	2
bnni	with_cyclostome	speciation	Chondrichthyes	3	ITPR3	0	100/100	2
bnni	with_cyclostome	speciation	Elasmobranchii	2	ITPR3	1	100/100	2
bnni	with_cyclostome	duplication	Osteichthyes	16	ITPR3	2	98.2/97	2
bnni	with_cyclostome	speciation	Osteichthyes	3	ITPR3	1	89.7/83	2
bnni	with_cyclostome	speciation	Clupeocephala	2	ITPR3	3	100/100	2
bnni	with_cyclostome	speciation	Tetrapoda	13	ITPR3	0	99.8/100	2
bnni	with_cyclostome	speciation	Pipidae	2	ITPR3	0	100/100	2
bnni	with_cyclostome	speciation	Amniota	11	ITPR3	0	99.9/100	2
