accession	call	confidence	reason	instruments	arch_call	profile_call	profile_confidence	itpr_score	ryr_score	rel_margin	searches	source	gene	protein_name	species	taxon_id	group	kingdom	phylum	class	order	family	length	in_band	fragment	reviewed	protein_existence	in_alphafold	seed_pfams	pfams	n_itpr_arch	ryr_pfams	v2_call
A0A087VQE3	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2586.1	159.6	0.9383	interpro+calibration+sweep	InterPro	N312_09773	Inositol 1,4,5-trisphosphate receptor	Balearica regulorum gibbericeps (East African grey crowned-crane)	100784	Vertebrata	Metazoa	Chordata	Aves	Gruiformes	Gruidae	1637	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A087Y2Z5	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2292.8	134.0	0.9416	interpro+calibration	InterPro		Inositol 1,4,5-trisphosphate receptor	Poecilia formosa (Amazon molly) (Limia formosa)	48698	Vertebrata	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Poeciliidae	1517	0		0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A091H544	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	419.7	26.3	0.9373	interpro+calibration+sweep	InterPro	N320_02922	Inositol 1,4,5-trisphosphate receptor	Buceros rhinoceros silvestris	175836	Vertebrata	Metazoa	Chordata	Aves	Bucerotiformes	Bucerotidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091HBJ0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	414.4	0.0	1.0	interpro+calibration+sweep	InterPro	N320_00704	Inositol 1,4,5-trisphosphate receptor type 1	Buceros rhinoceros silvestris	175836	Vertebrata	Metazoa	Chordata	Aves	Bucerotiformes	Bucerotidae	272	0	fragment	0	Predicted	1	PF01365	PF01365	1		unassigned
A0A091JXL0	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.2	25.1	0.9397	interpro+calibration+sweep	InterPro	N325_08962	Inositol 1,4,5-trisphosphate receptor	Colius striatus (Speckled mousebird)	57412	Vertebrata	Metazoa	Chordata	Aves	Coliiformes	Coliidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091KRZ0	ITPR	high	profile only — architecture incomplete	profile	unassigned	ITPR	high	2579.9	154.1	0.9403	interpro+calibration+sweep	InterPro	N324_12012	Inositol 1,4,5-trisphosphate receptor	Chlamydotis macqueenii (Macqueen's bustard)	187382	Vertebrata	Metazoa	Chordata	Aves	Otidiformes	Otididae	1640	0	fragment	0	Inferred from homology	0	PF01365;PF08709	PF01365;PF02815;PF08709	3		unassigned
A0A091LX29	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N322_07258	Inositol 1,4,5-trisphosphate receptor	Cariama cristata (Red-legged seriema)	54380	Vertebrata	Metazoa	Chordata	Aves	Cariamiformes	Cariamidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091MA22	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N323_04027	Inositol 1,4,5-trisphosphate receptor	Cathartes aura (Turkey vulture) (Vultur aura)	43455	Vertebrata	Metazoa	Chordata	Aves	Accipitriformes	Cathartidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091NN28	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	416.7	25.1	0.9398	interpro+calibration+sweep	InterPro	N311_00832	Inositol 1,4,5-trisphosphate receptor	Apaloderma vittatum (Bar-tailed trogon)	57397	Vertebrata	Metazoa	Chordata	Aves	Trogoniformes	Trogonidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
A0A091Q5I4	ITPR	medium	profile only — architecture incomplete	profile	unassigned	ITPR	medium	417.0	25.1	0.9398	interpro+calibration+sweep	InterPro	N330_12371	Inositol 1,4,5-trisphosphate receptor	Leptosomus discolor (Madagascar cuckoo roller) (Cuculus discolor)	188344	Vertebrata	Metazoa	Chordata	Aves	Leptosomiformes	Leptosomidae	285	0	fragment	0	Inferred from homology	1	PF01365	PF01365	1		unassigned
