species	organism	run	tissue	tissue_evidence	tissue_from	study	study_title	sample	layout	model	spots	read_len	selection
nalbiflora	Nibea albiflora	SRR10432579	liver	tissue=Liver	attribute	SRP229570	yellow drum liver transcriptome under cold and starvation stresses	SRS5638031	PAIRED	Illumina HiSeq 2500	23887959	287	RANDOM
nalbiflora	Nibea albiflora	SRR9016978	unknown		none	SRP195508	Nibea albiflora Raw sequence reads	SRS4726508	PAIRED	Illumina HiSeq 2500	19909570	250	RANDOM
nalbiflora	Nibea albiflora	SRR5264514	kidney	tissue=Brain, heart, liver, kidney, muscle, head kidney, skin, fin,	attribute	SRP100099	Nibea albiflora Raw sequence reads	SRS1984875	PAIRED	Illumina HiSeq 2500	17666357	250	RANDOM
nalbiflora	Nibea albiflora	SRR30102573	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227712	PAIRED	Illumina NovaSeq 6000	43519422	300	PolyA
nalbiflora	Nibea albiflora	SRR18366612	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299257	PAIRED	Illumina NovaSeq 6000	42086988	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR30102574	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227710	PAIRED	Illumina NovaSeq 6000	41878028	300	PolyA
nalbiflora	Nibea albiflora	SRR18366593	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299276	PAIRED	Illumina NovaSeq 6000	40414567	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR18366611	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299258	PAIRED	Illumina NovaSeq 6000	39775148	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR30102579	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227706	PAIRED	Illumina NovaSeq 6000	39638887	300	PolyA
nalbiflora	Nibea albiflora	SRR18366588	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299281	PAIRED	Illumina NovaSeq 6000	39233072	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR30102572	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227713	PAIRED	Illumina NovaSeq 6000	38383998	300	PolyA
nalbiflora	Nibea albiflora	SRR30102570	testis	sample_title=testis transcriptome sequencing of yellow drum	title	SRP523746	testis transcriptome sequencing of yellow drum	SRS22227715	PAIRED	Illumina NovaSeq 6000	38323652	300	PolyA
nalbiflora	Nibea albiflora	SRR18366607	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299262	PAIRED	Illumina NovaSeq 6000	38165241	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR18366590	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299279	PAIRED	Illumina NovaSeq 6000	37376951	300	Oligo-dT
nalbiflora	Nibea albiflora	SRR18366587	unknown		none	SRP364837	Gonad transcriptome data of yellow drum at early stage	SRS12299282	PAIRED	Illumina NovaSeq 6000	37162305	300	Oligo-dT
