species	organism	query	run	study	sample	strategy	source	selection	layout	platform	model	spots	bases	read_len	tissue_called	tissue_evidence	verdict	study_title
dmawsoni	Dissostichus mawsoni	base	SRR6794065	SRP133712	SRS20607242	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	11869689	2587592202	218			keep:tissue_unknown	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	base	SRR6794067	SRP133712	SRS20607236	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	18596244	4053981192	218	intestine	tissue=Stomach	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	base	SRR6794071	SRP133712	SRS20607231	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	15365453	3349668754	218	kidney	tissue=caudal kidney	keep	Genome sequencing project of the Antarctic toothfish and the Patagonia blennie
dmawsoni	Dissostichus mawsoni	base	SRR2895149	SRP065791	SRS1092701	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	8297286	1808808348	218			keep:tissue_unknown	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes
dmawsoni	Dissostichus mawsoni	base	SRR2895150	SRP065791	SRS1092701	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	6383311	1391561798	218			keep:tissue_unknown	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes
dmawsoni	Dissostichus mawsoni	base	SRR2895151	SRP065791	SRS1092701	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	8511049	1855408682	218			keep:tissue_unknown	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes
dmawsoni	Dissostichus mawsoni	base	SRR2895152	SRP065791	SRS1092701	RNA-Seq	TRANSCRIPTOMIC	cDNA	PAIRED	ILLUMINA	Illumina HiSeq 1500	6083547	1326213246	218			keep:tissue_unknown	Comparative Study Revealed Nucleotide and Amino Acid Preference in Polar Fishes
nalbiflora	Nibea albiflora	brain	SRR5264436	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	brain	SRR5264514	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	heart	SRR5264436	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	heart	SRR5264514	SRP100099	SRS1984875	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	17666357	4416589250	250			reject:tissue_unconfirmed	Nibea albiflora Raw sequence reads
nalbiflora	Nibea albiflora	muscle	SRR23874471	SRP427558	SRS17055811	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23631753	7089525900	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874472	SRP427558	SRS17055810	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	22821113	6846333900	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874473	SRP427558	SRS17055809	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23210596	6963178800	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874474	SRP427558	SRS17055808	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	20400049	6120014700	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874475	SRP427558	SRS17055807	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	21658377	6497513100	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874476	SRP427558	SRS17055806	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	21789692	6536907600	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874477	SRP427558	SRS17055805	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	22062658	6618797400	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874478	SRP427558	SRS17055804	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	23305340	6991602000	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874479	SRP427558	SRS17055803	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	22221577	6666473100	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874480	SRP427558	SRS17055801	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	24505327	7351598100	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874481	SRP427558	SRS17055802	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	21617329	6485198700	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
nalbiflora	Nibea albiflora	muscle	SRR23874482	SRP427558	SRS17055800	RNA-Seq	TRANSCRIPTOMIC	RANDOM	PAIRED	ILLUMINA	Illumina HiSeq 2500	21420457	6426137100	300	muscle	tissue=muscle	keep	A comparative study of dietary lipid sources on growth performance, body composition, muscle quality and nutrient retention in juvenile yellow drum (Nibea albif
