taxid	scientific_name	rank	group	domain	kingdom	phylum	class	order	family	genus	clade	clade_from	lineage
1703332	Butyribacter intestini	species	Bacteria	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Butyribacter	Bacillota	phylum	cellular organisms; Bacteria; Bacillati; Bacillota; Clostridia; Lachnospirales; Lachnospiraceae; Butyribacter
1703339	Croceicoccus mobilis	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Sphingomonadales; Erythrobacteraceae; Croceicoccus
1703343	Marinirhabdus gelatinilytica	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Marinirhabdus	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Flavobacteriia; Flavobacteriales; Flavobacteriaceae; Marinirhabdus
1703345	Niastella vici	species	Bacteria	Bacteria	Pseudomonadati	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Niastella	Bacteroidota	phylum	cellular organisms; Bacteria; Pseudomonadati; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Chitinophagia; Chitinophagales; Chitinophagaceae; Niastella
1704499	Methylovulum psychrotolerans	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Methylococcales; Methylococcaceae; Methylovulum
1705562	Haloarcula rubripromontorii	species	Archaea	Archaea	Methanobacteriati	Methanobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Methanobacteriota	phylum	cellular organisms; Archaea; Methanobacteriati; Methanobacteriota; Stenosarchaea group; Halobacteria; Halobacteriales; Haloarculaceae; Haloarcula
1706046	Sulfurirhabdus autotrophica	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sulfuricellaceae	Sulfurirhabdus	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Sulfuricellaceae; Sulfurirhabdus
1706337	Neophocaena asiaeorientalis asiaeorientalis	subspecies	Vertebrata	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Phocoenidae	Neophocaena	Chordata	phylum	cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Mammalia; Theria; Eutheria; Boreoeutheria; Laurasiatheria; Artiodactyla; Whippomorpha; Cetacea; Odontoceti; Phocoenidae; Neophocaena; Neophocaena asiaeorientalis
1708749	Tenggerimyces flavus	species	Bacteria	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Tenggerimyces	Actinomycetota	phylum	cellular organisms; Bacteria; Bacillati; Actinomycetota; Actinomycetes; Propionibacteriales; Nocardioidaceae; Tenggerimyces
1709002	Aerophototrophica crusticola	species	Bacteria	Bacteria	Pseudomonadati	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Aerophototrophica	Pseudomonadota	phylum	cellular organisms; Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Rhodospirillaceae; Aerophototrophica
