upid	organism	taxid	group	protein_count	n_itpr	n_ryr	n_unassigned	best_itpr_score	best_itpr_evalue	best_itpr_acc	itpr_status
UP000015101	Helobdella robusta (Californian leech)	6412	metazoa_nonvert	23328	10	3	18	1877.6	0	T1FVZ2	present
UP000015102	Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	metazoa_nonvert	11463	4	1	5	1149.1	0	T1GHV6	present
UP000015103	Rhodnius prolixus (Triatomid bug)	13249	metazoa_nonvert	14974	1	1	8	3745.0	0	T1HK15	present
UP000015104	Tetranychus urticae (Two-spotted spider mite)	32264	metazoa_nonvert	17526	1	1	6	2076.6	0	T1KF94	present
UP000017246	Echinococcus multilocularis (Fox tapeworm)	6211	metazoa_nonvert	10472	0	3	9				absent
UP000019118	Dendroctonus ponderosae (Mountain pine beetle)	77166	metazoa_nonvert	17726	1	1	8	3691.2	0	A0AAR5PI72	present
UP000019149	Echinococcus granulosus (Hydatid tapeworm)	6210	metazoa_nonvert	11279	0	3	8				absent
UP000024404	Onchocerca volvulus	6282	metazoa_nonvert	12223	1	1	10	2595.4	0	A0A8R1TU45	present
UP000024635	Ancylostoma ceylanicum	53326	metazoa_nonvert	65375	2	3	11	1806.7	0	A0A016VX80	present
UP000025227	Haemonchus contortus (Barber pole worm)	6289	metazoa_nonvert	20964	1	2	14	2856.5	0	A0A7I4YKH1	present
UP000027135	Zootermopsis nevadensis (Dampwood termite)	136037	metazoa_nonvert	14539	0	3	11				absent
UP000030665	Trichuris trichiura (Whipworm) (Trichocephalus trichiurus)	36087	metazoa_nonvert	9624	1	1	9	2445.8	0	A0A077YYA4	present
UP000030746	Lottia gigantea (Giant owl limpet)	225164	metazoa_nonvert	23675	4	1	23	1681.8	0	V4BA02	present
UP000030764	Trichuris suis (pig whipworm)	68888	metazoa_nonvert	14189	0	1	8				absent
UP000030765	Anopheles sinensis (Mosquito)	74873	metazoa_nonvert	19343	1	1	8	3625.8	0	A0A084W6J0	present
UP000031036	Toxocara canis (Canine roundworm)	6265	metazoa_nonvert	18499	1	3	16	2929.4	0	A0A0B2VE71	present
UP000035642	Angiostrongylus cantonensis (Rat lungworm)	6313	metazoa_nonvert	14504	5	1	9	438.3	2.8e-128	A0A158PCK9	present
UP000035680	Strongyloides venezuelensis (Threadworm)	75913	metazoa_nonvert	16624	1	1	9	2559.3	0	A0A0K0EWY3	present
UP000035681	Strongyloides stercoralis (Threadworm)	6248	metazoa_nonvert	15552	1	2	13	2547.3	0	A0A913HZP3	present
UP000035682	Strongyloides ratti (Parasitic roundworm)	34506	metazoa_nonvert	12456	1	1	10	2547.4	0	A0A090KQI1	present
UP000036403	Lasius niger (Black garden ant)	67767	metazoa_nonvert	18044	2	3	5	2107.7	0	A0A0J7NVA4	present
UP000037069	Lucilia cuprina (Green bottle fly) (Australian sheep blowfly)	7375	metazoa_nonvert	14353	1	1	7	3722.1	0	A0A0L0CKU0	present
UP000037510	Operophtera brumata (Winter moth) (Phalaena brumata)	104452	metazoa_nonvert	16814	1	1	4	623.8	3.4e-184	A0A0L7LRU7	present
UP000038045	Parastrongyloides trichosuri (Possum-specific nematode worm)	131310	metazoa_nonvert	14892	1	2	9	2551.2	0	A0A0N4ZIS5	present
UP000046392	Strongyloides papillosus (Intestinal threadworm)	174720	metazoa_nonvert	18232	1	1	9	2450.1	0	A0A0N5C5P1	present
UP000046393	Syphacia muris	451379	metazoa_nonvert	11114	1	1	11	2699.6	0	A0A158R5B0	present
UP000046395	Trichuris muris (Mouse whipworm)	70415	metazoa_nonvert	13960	1	3	14	2605.9	0	A0A5S6QTU2	present
UP000050640	Elaeophora elaphi	1147741	metazoa_nonvert	10407	1	1	9	2607.2	0	A0A158Q836	present
UP000050741	Globodera pallida (Potato cyst nematode worm) (Heterodera pallida)	36090	metazoa_nonvert	16295	1	2	27	2503.3	0	A0A183CC87	present
UP000050792	Schistosoma rodhaini	6188	metazoa_nonvert	19435	1	10	22	1495.0	0	A0AA85FYS4	present
UP000050794	Toxocara canis (Canine roundworm)	6265	metazoa_nonvert	20249	2	1	11	1479.4	0	A0A183UJY7	present
UP000050795	Trichobilharzia regenti (Nasal bird schistosome)	157069	metazoa_nonvert	20231	5	3	29	1477.4	0	A0AA85ITV4	present
UP000051574	Oryctes borbonicus	1629725	metazoa_nonvert	8820	1	1	3	2665.5	0	A0A0T6ATW9	present
UP000053097	Ooceraea biroi (Clonal raider ant) (Cerapachys biroi)	2015173	metazoa_nonvert	16497	1	3	5	3694.3	0	A0A026VT77	present
UP000053105	Melipona quadrifasciata	166423	metazoa_nonvert	14253	1	1	4	3467.3	0	A0A0N0BFT7	present
UP000053240	Papilio machaon (Old World swallowtail butterfly)	76193	metazoa_nonvert	15461	1	3	10	2878.2	0	A0A0N1IGP3	present
UP000053268	Papilio xuthus (Asian swallowtail butterfly)	66420	metazoa_nonvert	15265	2	4	10	2693.2	0	A0A0N1PF50	present
UP000053660	Oesophagostomum dentatum (Nodular worm)	61180	metazoa_nonvert	25133	2	13	14	603.6	4.2e-178	A0A0B1S7M8	present
