branch_lengths	model	axis	rate	loglik	shape	argmax	at_boundary
unit	ARD	loss	100	-3557.5	monotone decreasing	1e-06	1
unit	ARD	gain	1e-06	-7.68475	monotone increasing	100	1
unit	ARD	gain	1.77828e-06	-7.10988	monotone increasing	100	1
unit	ARD	gain	3.16228e-06	-6.53562	monotone increasing	100	1
unit	ARD	gain	5.62341e-06	-5.96242	monotone increasing	100	1
unit	ARD	gain	1e-05	-5.39111	monotone increasing	100	1
unit	ARD	gain	1.77828e-05	-4.82314	monotone increasing	100	1
unit	ARD	gain	3.16228e-05	-4.26099	monotone increasing	100	1
unit	ARD	gain	5.62341e-05	-3.7089	monotone increasing	100	1
unit	ARD	gain	0.0001	-3.17383	monotone increasing	100	1
unit	ARD	gain	0.000177828	-2.66649	monotone increasing	100	1
unit	ARD	gain	0.000316228	-2.20184	monotone increasing	100	1
unit	ARD	gain	0.000562341	-1.79744	monotone increasing	100	1
unit	ARD	gain	0.001	-1.46845	monotone increasing	100	1
unit	ARD	gain	0.00177828	-1.22095	monotone increasing	100	1
unit	ARD	gain	0.00316228	-1.04857	monotone increasing	100	1
unit	ARD	gain	0.00562341	-0.935754	monotone increasing	100	1
unit	ARD	gain	0.01	-0.864349	monotone increasing	100	1
unit	ARD	gain	0.0177828	-0.81835	monotone increasing	100	1
unit	ARD	gain	0.0316228	-0.785215	monotone increasing	100	1
unit	ARD	gain	0.0562341	-0.75485	monotone increasing	100	1
unit	ARD	gain	0.1	-0.71767	monotone increasing	100	1
unit	ARD	gain	0.177828	-0.662542	monotone increasing	100	1
unit	ARD	gain	0.316228	-0.576026	monotone increasing	100	1
unit	ARD	gain	0.562341	-0.448518	monotone increasing	100	1
unit	ARD	gain	1	-0.297521	monotone increasing	100	1
unit	ARD	gain	1.77828	-0.173444	monotone increasing	100	1
unit	ARD	gain	3.16228	-0.097698	monotone increasing	100	1
unit	ARD	gain	5.62341	-0.054944	monotone increasing	100	1
unit	ARD	gain	10	-0.030898	monotone increasing	100	1
unit	ARD	gain	17.7828	-0.017376	monotone increasing	100	1
unit	ARD	gain	31.6228	-0.009771	monotone increasing	100	1
unit	ARD	gain	56.2341	-0.005495	monotone increasing	100	1
unit	ARD	gain	100	-0.00309	monotone increasing	100	1
unit	irreversible	loss	1e-06	-0.000776	monotone decreasing	1e-06	1
unit	irreversible	loss	1.77828e-06	-0.00138	monotone decreasing	1e-06	1
unit	irreversible	loss	3.16228e-06	-0.002454	monotone decreasing	1e-06	1
unit	irreversible	loss	5.62341e-06	-0.004364	monotone decreasing	1e-06	1
unit	irreversible	loss	1e-05	-0.00776	monotone decreasing	1e-06	1
unit	irreversible	loss	1.77828e-05	-0.013799	monotone decreasing	1e-06	1
unit	irreversible	loss	3.16228e-05	-0.024539	monotone decreasing	1e-06	1
unit	irreversible	loss	5.62341e-05	-0.043638	monotone decreasing	1e-06	1
unit	irreversible	loss	0.0001	-0.0776	monotone decreasing	1e-06	1
unit	irreversible	loss	0.000177828	-0.137994	monotone decreasing	1e-06	1
unit	irreversible	loss	0.000316228	-0.245393	monotone decreasing	1e-06	1
unit	irreversible	loss	0.000562341	-0.436377	monotone decreasing	1e-06	1
unit	irreversible	loss	0.001	-0.776	monotone decreasing	1e-06	1
unit	irreversible	loss	0.00177828	-1.37994	monotone decreasing	1e-06	1
unit	irreversible	loss	0.00316228	-2.45393	monotone decreasing	1e-06	1
unit	irreversible	loss	0.00562341	-4.36377	monotone decreasing	1e-06	1
unit	irreversible	loss	0.01	-7.76	monotone decreasing	1e-06	1
unit	irreversible	loss	0.0177828	-13.7994	monotone decreasing	1e-06	1
unit	irreversible	loss	0.0316228	-24.5393	monotone decreasing	1e-06	1
unit	irreversible	loss	0.0562341	-43.6377	monotone decreasing	1e-06	1
unit	irreversible	loss	0.1	-77.6	monotone decreasing	1e-06	1
unit	irreversible	loss	0.177828	-137.994	monotone decreasing	1e-06	1
unit	irreversible	loss	0.316228	-245.393	monotone decreasing	1e-06	1
unit	irreversible	loss	0.562341	-436.377	monotone decreasing	1e-06	1
