symbol	ensembl_gene	status
ACSL3P1	ENSG00000244062	background
ACSL4	ENSG00000068366	background
ACSL5	ENSG00000197142	background
ACSL6	ENSG00000164398	background
ACSL6-AS1	ENSG00000223548	background
ACSM1	ENSG00000166743	background
ACSM2A	ENSG00000183747	background
ACSM2B	ENSG00000066813	background
ACSM3	ENSG00000005187	background
ACSM4	ENSG00000215009	background
ACSM5	ENSG00000183549	background
ACSM5P1	ENSG00000260762	background
ACSM6	ENSG00000173124	background
ACSS1	ENSG00000154930	background
ACSS2	ENSG00000131069	wanted
ACSS3	ENSG00000111058	background
ACSS3-AS1	ENSG00000258026	background
ACTA1	ENSG00000143632	background
ACTA2	ENSG00000107796	wanted
ACTA2-AS1	ENSG00000180139	background
ACTB	ENSG00000075624	background
ACTBL2	ENSG00000169067	background
ACTBP1	ENSG00000229145	background
ACTBP11	ENSG00000188460	background
ACTBP12	ENSG00000233125	background
ACTBP14	ENSG00000229001	background
ACTBP15	ENSG00000213857	background
ACTBP16	ENSG00000241473	background
ACTBP2	ENSG00000213763	background
ACTBP4	ENSG00000286676	background
ACTBP6	ENSG00000203413	background
ACTBP7	ENSG00000185607	background
ACTBP8	ENSG00000220267	background
ACTBP9	ENSG00000266920	background
ACTC1	ENSG00000159251	wanted
ACTE1P	ENSG00000293435	background
ACTG1	ENSG00000184009	background
ACTG1P1	ENSG00000178631	background
ACTG1P10	ENSG00000231340	background
ACTG1P11	ENSG00000229465	background
ACTG1P12	ENSG00000226642	background
ACTG1P13	ENSG00000241305	background
ACTG1P14	ENSG00000230581	background
ACTG1P15	ENSG00000259904	background
ACTG1P16	ENSG00000260298	background
ACTG1P17	ENSG00000293222	background
ACTG1P18	ENSG00000218475	background
ACTG1P19	ENSG00000237999	background
ACTG1P2	ENSG00000229129	background
ACTG1P20	ENSG00000241547	background
ACTG1P21	ENSG00000232672	background
ACTG1P22	ENSG00000271615	background
ACTG1P23	ENSG00000230362	background
ACTG1P24	ENSG00000226359	background
ACTG1P25	ENSG00000293264	background
ACTG1P3	ENSG00000215388	background
ACTG1P4	ENSG00000236085	background
ACTG1P9	ENSG00000229349	background
ACTG2	ENSG00000163017	background
ACTL10	ENSG00000288649	background
ACTL11P	ENSG00000234667	background
ACTL6A	ENSG00000136518	background
ACTL6A-AS1	ENSG00000272660	background
ACTL6B	ENSG00000077080	background
ACTL7A	ENSG00000187003	background
ACTL7B	ENSG00000148156	background
ACTL8	ENSG00000117148	background
ACTL9	ENSG00000181786	background
ACTMAP	ENSG00000188493	wanted
ACTN1	ENSG00000072110	background
ACTN1-DT	ENSG00000259062	background
ACTN2	ENSG00000077522	wanted
ACTN3	ENSG00000248746	background
ACTN3-AS1	ENSG00000250105	background
ACTN4	ENSG00000130402	wanted
ACTN4-AS1	ENSG00000267375	background
ACTN4P1	ENSG00000213493	background
ACTN4P2	ENSG00000214141	background
ACTP1	ENSG00000229890	background
ACTR10	ENSG00000131966	background
ACTR1A	ENSG00000138107	background
ACTR1AP1	ENSG00000233370	background
ACTR1B	ENSG00000115073	background
ACTR2	ENSG00000138071	background
ACTR2P1	ENSG00000224334	background
ACTR2P2	ENSG00000213985	background
ACTR3	ENSG00000115091	background
ACTR3-AS1	ENSG00000228857	background
ACTR3B	ENSG00000133627	background
ACTR3BP1	ENSG00000270242	background
ACTR3BP2	ENSG00000226481	background
ACTR3BP3	ENSG00000260327	background
ACTR3BP4	ENSG00000249283	background
ACTR3BP5	ENSG00000227264	background
ACTR3BP6	ENSG00000280263	background
ACTR3BP7	ENSG00000226444	background
ACTR3C	ENSG00000106526	background
ACTR3P2	ENSG00000232267	background
ACTR3P3	ENSG00000242573	background
ACTR5	ENSG00000101442	background
ACTR6	ENSG00000075089	wanted
ACTR6P1	ENSG00000248915	background
ACTR8	ENSG00000113812	wanted
ACTRT1	ENSG00000123165	background
ACTRT1P1	ENSG00000235239	background
ACTRT2	ENSG00000169717	background
ACTRT3	ENSG00000184378	background
ACVR1	ENSG00000115170	background
ACVR1B	ENSG00000135503	background
ACVR1C	ENSG00000123612	background
ACVR2A	ENSG00000121989	background
ACVR2B	ENSG00000114739	background
ACVR2B-AS1	ENSG00000229589	background
ACVRL1	ENSG00000139567	background
ACY1	ENSG00000243989	wanted
ACY3	ENSG00000132744	background
ACYP1	ENSG00000119640	wanted
ACYP2	ENSG00000170634	background
ADA	ENSG00000196839	background
ADA2	ENSG00000093072	background
ADAD1	ENSG00000164113	background
ADAD1P1	ENSG00000270367	background
ADAD1P2	ENSG00000267511	background
ADAD2	ENSG00000140955	wanted
ADAD2-AS1	ENSG00000250685	background
ADAM10	ENSG00000137845	background
ADAM11	ENSG00000073670	background
ADAM12	ENSG00000148848	background
