query	target	query_role	target_role	query_call	target_call	query_paralog	target_paralog	tm_query	tm_target	tm_max	rmsd	aligned	seq_identity	len_query	len_target	ok	error
control_Tln1_8VDO	model_A0A8M6Z266	control	model	control	ITPR	in-band non-channel	ITPR3	0.2833	0.2034	0.2833	10.75	752	0.053	1740	2635	1	
control_Tln1_8VDO	model_A0A8M9PQQ3	control	model	control	ITPR	in-band non-channel	ITPR2	0.2689	0.193	0.2689	10.95	737	0.05	1740	2665	1	
control_Tln1_8VDO	model_A0AAD9FCG5	control	model	control	ITPR	in-band non-channel	KUDE01_003980	0.2265	0.2875	0.2875	10.12	588	0.071	1740	1274	1	
control_Tln1_8VDO	model_A0AAE0F2K9	control	model	control	ITPR	in-band non-channel	CYMTET_42485	0.2222	0.3094	0.3094	9.68	561	0.08	1740	1135	1	
control_Tln1_8VDO	model_A0AAN0K328	control	model	control	ITPR	in-band non-channel		0.183	0.2326	0.2326	10.29	478	0.077	1740	1274	1	
control_Tln1_8VDO	model_G0QNB9	control	model	control	ITPR	in-band non-channel	IMG5_057070	0.2288	0.2924	0.2924	9.76	576	0.049	1740	1273	1	
control_Tln1_8VDO	model_P11881	control	model	control	ITPR	in-band non-channel	ITPR1	0.2718	0.1924	0.2718	10.75	730	0.07	1740	2694	1	
control_Tln1_8VDO	model_P70227	control	model	control	ITPR	in-band non-channel	ITPR3	0.2861	0.2031	0.2861	10.66	757	0.054	1740	2670	1	
control_Tln1_8VDO	model_Q14573	control	model	control	ITPR	in-band non-channel	ITPR3	0.2756	0.1961	0.2756	10.81	737	0.053	1740	2671	1	
control_Tln1_8VDO	model_Q14643	control	model	control	ITPR	in-band non-channel	ITPR1	0.2642	0.1862	0.2642	10.6	698	0.069	1740	2695	1	
control_Tln1_8VDO	model_Q63269	control	model	control	ITPR	in-band non-channel	ITPR3	0.2831	0.2008	0.2831	10.43	740	0.065	1740	2670	1	
control_Tln1_8VDO	model_Q8WSR4	control	model	control	ITPR	in-band non-channel		0.2756	0.1941	0.2756	10.63	729	0.055	1740	2698	1	
control_Tln1_8VDO	model_Q9Y0A1	control	model	control	ITPR	in-band non-channel		0.2497	0.2527	0.2527	10.98	679	0.078	1740	1713	1	
control_Tln1_8VDO	model_Q9Z329	control	model	control	ITPR	in-band non-channel	ITPR2	0.2691	0.1919	0.2691	10.92	726	0.05	1740	2668	1	
control_Tln1_8VDO	reference_ITPR1_7LHF	control	reference	control	ITPR	in-band non-channel	ITPR1	0.2636	0.2115	0.2636	10.84	706	0.051	1740	2300	1	
control_Tln1_8VDO	reference_ITPR2_9YKK	control	reference	control	ITPR	in-band non-channel	ITPR2	0.2739	0.2295	0.2739	10.2	702	0.066	1740	2168	1	
control_Tln1_8VDO	reference_ITPR3_8TKG	control	reference	control	ITPR	in-band non-channel	ITPR3	0.2813	0.2339	0.2813	11.13	773	0.062	1740	2210	1	
control_Tln1_8VDO	reference_RYR1_9NMO	control	reference	control	RYR	in-band non-channel	RYR1	0.2794	0.1323	0.2794	10.82	751	0.075	1740	4373	1	
control_Tln1_8VDO	reference_RYR2_7U9X	control	reference	control	RYR	in-band non-channel	RYR2	0.3084	0.1513	0.3084	10.78	837	0.044	1740	4224	1	
control_Tln1_8VDO	state_panel_ITPR3_6DQJ	control	state_panel	control	ITPR	in-band non-channel	ITPR3	0.2715	0.2266	0.2715	10.16	699	0.044	1740	2181	1	
control_Tln1_8VDO	state_panel_ITPR3_7T3P	control	state_panel	control	ITPR	in-band non-channel	ITPR3	0.2704	0.2385	0.2704	10.96	735	0.053	1740	2047	1	
control_Tln1_8VDO	state_panel_ITPR3_8TKF	control	state_panel	control	ITPR	in-band non-channel	ITPR3	0.2729	0.2226	0.2729	10.97	755	0.079	1740	2272	1	
control_Tln1_8VDO	state_panel_ITPR3_8TKH	control	state_panel	control	ITPR	in-band non-channel	ITPR3	0.2758	0.2227	0.2758	10.22	708	0.061	1740	2268	1	
control_Tln1_8VDO	state_panel_ITPR3_8TLA	control	state_panel	control	ITPR	in-band non-channel	ITPR3	0.2532	0.2243	0.2532	10.7	679	0.054	1740	2034	1	
model_A0A4P9Y2S6	model_A0A4P9Y2S6	model	model	ITPR	ITPR	BJ684DRAFT_20267	BJ684DRAFT_20267	1.0	1.0	1.0	0.0	1019	1.0	1019	1019	1	
model_A0A4P9Y2S6	model_A0A6A5BJU9	model	model	ITPR	ITPR	BJ684DRAFT_20267	FDP41_006910	0.2188	0.1888	0.2188	9.52	362	0.055	1019	1238	1	
model_A0A4P9Y2S6	model_A0A8M6Z266	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5658	0.2341	0.5658	5.32	676	0.26	1019	2635	1	
model_A0A4P9Y2S6	model_A0A8M9PQQ3	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR2	0.5982	0.2387	0.5982	4.25	674	0.27	1019	2665	1	
model_A0A4P9Y2S6	model_A0AAD9FCG5	model	model	ITPR	ITPR	BJ684DRAFT_20267	KUDE01_003980	0.24	0.202	0.24	9.08	383	0.07	1019	1274	1	
model_A0A4P9Y2S6	model_A0AAE0F2K9	model	model	ITPR	ITPR	BJ684DRAFT_20267	CYMTET_42485	0.2288	0.2104	0.2288	8.87	356	0.084	1019	1135	1	
model_A0A4P9Y2S6	model_A0AAN0K328	model	model	ITPR	ITPR	BJ684DRAFT_20267		0.5745	0.4664	0.5745	4.62	662	0.208	1019	1274	1	
model_A0A4P9Y2S6	model_G0QNB9	model	model	ITPR	ITPR	BJ684DRAFT_20267	IMG5_057070	0.2369	0.1964	0.2369	7.61	330	0.085	1019	1273	1	
model_A0A4P9Y2S6	model_P11881	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR1	0.5512	0.2268	0.5512	5.63	680	0.251	1019	2694	1	
model_A0A4P9Y2S6	model_P70227	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5686	0.2317	0.5686	5.06	673	0.262	1019	2670	1	
model_A0A4P9Y2S6	model_Q14573	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5483	0.2269	0.5483	5.85	677	0.256	1019	2671	1	
model_A0A4P9Y2S6	model_Q14643	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR1	0.558	0.2283	0.558	5.48	680	0.265	1019	2695	1	
model_A0A4P9Y2S6	model_Q63269	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5664	0.231	0.5664	5.14	672	0.271	1019	2670	1	
model_A0A4P9Y2S6	model_Q8WSR4	model	model	ITPR	ITPR	BJ684DRAFT_20267		0.5442	0.2256	0.5442	6.33	693	0.242	1019	2698	1	
model_A0A4P9Y2S6	model_Q9Y0A1	model	model	ITPR	ITPR	BJ684DRAFT_20267		0.2817	0.1834	0.2817	8.14	412	0.049	1019	1713	1	
model_A0A4P9Y2S6	model_Q9Z329	model	model	ITPR	ITPR	BJ684DRAFT_20267	ITPR2	0.5854	0.236	0.5854	4.66	676	0.272	1019	2668	1	
model_A0A4P9Y2S6	reference_ITPR1_7LHF	model	reference	ITPR	ITPR	BJ684DRAFT_20267	ITPR1	0.5649	0.2618	0.5649	4.43	647	0.269	1019	2300	1	
model_A0A4P9Y2S6	reference_ITPR2_9YKK	model	reference	ITPR	ITPR	BJ684DRAFT_20267	ITPR2	0.5017	0.2558	0.5017	6.16	641	0.218	1019	2168	1	
model_A0A4P9Y2S6	reference_ITPR3_8TKG	model	reference	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5684	0.2723	0.5684	4.23	643	0.267	1019	2210	1	
model_A0A4P9Y2S6	reference_RYR1_9NMO	model	reference	ITPR	RYR	BJ684DRAFT_20267	RYR1	0.6033	0.1552	0.6033	5.37	728	0.225	1019	4373	1	
model_A0A4P9Y2S6	reference_RYR2_7U9X	model	reference	ITPR	RYR	BJ684DRAFT_20267	RYR2	0.6145	0.1616	0.6145	5.03	727	0.235	1019	4224	1	
model_A0A4P9Y2S6	state_panel_ITPR3_6DQJ	model	state_panel	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5574	0.2709	0.5574	4.19	632	0.271	1019	2181	1	
model_A0A4P9Y2S6	state_panel_ITPR3_7T3P	model	state_panel	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5401	0.2767	0.5401	3.82	599	0.284	1019	2047	1	
model_A0A4P9Y2S6	state_panel_ITPR3_8TKF	model	state_panel	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5805	0.2701	0.5805	4.15	653	0.273	1019	2272	1	
model_A0A4P9Y2S6	state_panel_ITPR3_8TKH	model	state_panel	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5671	0.2666	0.5671	4.46	651	0.266	1019	2268	1	
model_A0A4P9Y2S6	state_panel_ITPR3_8TLA	model	state_panel	ITPR	ITPR	BJ684DRAFT_20267	ITPR3	0.5692	0.2953	0.5692	4.22	644	0.269	1019	2034	1	
model_A0A6A5BJU9	model_A0A6A5BJU9	model	model	ITPR	ITPR	FDP41_006910	FDP41_006910	1.0	1.0	1.0	0.0	1238	1.0	1238	1238	1	
model_A0A6A5BJU9	model_A0A8M6Z266	model	model	ITPR	ITPR	FDP41_006910	ITPR3	0.5716	0.2879	0.5716	6.01	857	0.187	1238	2635	1	
model_A0A6A5BJU9	model_A0A8M9PQQ3	model	model	ITPR	ITPR	FDP41_006910	ITPR2	0.6009	0.2962	0.6009	5.54	874	0.19	1238	2665	1	
model_A0A6A5BJU9	model_A0AAD9FCG5	model	model	ITPR	ITPR	FDP41_006910	KUDE01_003980	0.5788	0.5641	0.5788	5.42	846	0.189	1238	1274	1	
model_A0A6A5BJU9	model_A0AAE0F2K9	model	model	ITPR	ITPR	FDP41_006910	CYMTET_42485	0.6111	0.6607	0.6607	5.32	888	0.161	1238	1135	1	
model_A0A6A5BJU9	model_A0AAN0K328	model	model	ITPR	ITPR	FDP41_006910		0.2608	0.2545	0.2608	7.86	430	0.074	1238	1274	1	
