accession	assignment	confidence	evidence	reason	itpr_score	ryr_score	score_margin	rel_margin	itpr_evalue	ryr_evalue	best_evalue	itpr_coverage	ryr_coverage	itpr_positions	ryr_positions	target_coverage	length	gene	species	taxon_id	reviewed	protein_name	s2_call	s2_arch_call	s2_reason	s2_arch	s2_group	is_seed
A0A026W7Q8	RYR	high	architecture	ryr.hmm wins by 6342.2 bits (90.0% of 7047.2) over 4905 profile positions	705.0	7047.2	6342.2	0.9	1.5e-211	0	0	0.716	0.995	1922	4905	0.998	5061	X777_09115	Ooceraea biroi	2015173	0	Ryanodine receptor 44F	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A034VYQ7	RYR	high	architecture	ryr.hmm wins by 6496.6 bits (90.3% of 7192.9) over 4930 profile positions	696.3	7192.9	6496.6	0.9032	6.2e-209	0	0	0.758	1.0	2034	4930	0.999	5115	LOC105232171	Bactrocera dorsalis	27457	0	Ryanodine receptor isoform X16	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A034W1A0	RYR	high	architecture	ryr.hmm wins by 6497.2 bits (90.3% of 7193.5) over 4930 profile positions	696.3	7193.5	6497.2	0.9032	6.2e-209	0	0	0.758	1.0	2034	4930	0.999	5119	LOC105232171	Bactrocera dorsalis	27457	0	Ryanodine receptor isoform X14	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A034W1A4	RYR	high	architecture	ryr.hmm wins by 6497.7 bits (90.3% of 7192.9) over 4930 profile positions	695.2	7192.9	6497.7	0.9033	1.4e-208	0	0	0.758	1.0	2034	4930	0.999	5134	LOC105232171	Bactrocera dorsalis	27457	0	Ryanodine receptor isoform X6	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A034W289	RYR	high	architecture	ryr.hmm wins by 6497.1 bits (90.3% of 7192.3) over 4930 profile positions	695.2	7192.3	6497.1	0.9033	1.4e-208	0	0	0.758	1.0	2034	4930	0.999	5130	LOC105232171	Bactrocera dorsalis	27457	0	Ryanodine receptor isoform X8	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	5	Metazoa (non-vertebrate)	0
A0A058ZDJ2	ITPR	high	architecture	itpr.hmm wins by 1886.3 bits (83.0% of 2273.6) over 2421 profile positions	2273.6	387.3	1886.3	0.8297	0	5.6e-116	0	0.902	0.176	2421	868	0.878	3443	H696_01395	Fonticula alba	691883	0	MIR domain-containing protein	ITPR	ITPR	itpr_arch_complete	5	Eukaryota (other)	1
A0A059XHF1	RYR	high	architecture	ryr.hmm wins by 6380.0 bits (90.1% of 7083.4) over 4925 profile positions	703.4	7083.4	6380.0	0.9007	4.7e-211	0	0	0.762	0.999	2045	4925	0.999	5133	RyR	Chilo suppressalis	168631	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A059XLU6	RYR	high	architecture	ryr.hmm wins by 6322.8 bits (89.8% of 7039.0) over 4930 profile positions	716.2	7039.0	6322.8	0.8983	6.2e-215	0	0	0.717	1.0	1924	4930	0.999	5135	RyR	Nilaparvata lugens	108931	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A059XMJ0	RYR	high	architecture	ryr.hmm wins by 6336.4 bits (90.0% of 7042.6) over 4925 profile positions	706.2	7042.6	6336.4	0.8997	6.6e-212	0	0	0.769	0.999	2064	4925	0.999	5117	RyR	Helicoverpa armigera	29058	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A059XRL5	RYR	high	architecture	ryr.hmm wins by 6345.6 bits (90.0% of 7048.0) over 4930 profile positions	702.4	7048.0	6345.6	0.9003	8.9e-211	0	0	0.718	1.0	1927	4930	0.999	5135	RyR	Laodelphax striatellus	195883	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A059XRP6	RYR	high	architecture	ryr.hmm wins by 6332.1 bits (90.0% of 7035.2) over 4925 profile positions	703.1	7035.2	6332.1	0.9001	5.5e-211	0	0	0.76	0.999	2040	4925	0.999	5135	RyR	Spodoptera exigua	7107	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A059XRQ0	RYR	high	architecture	ryr.hmm wins by 6323.7 bits (89.9% of 7033.6) over 4930 profile positions	709.9	7033.6	6323.7	0.8991	5e-213	0	0	0.733	1.0	1967	4930	0.999	5128	RyR	Sogatella furcifera	113103	0	Ryanodine receptor	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119;symbol=RYR	5	Metazoa (non-vertebrate)	0
A0A067BPJ2	ITPR	medium	partial	itpr.hmm wins by 12.9 bits (17.2% of 74.9) over 231 profile positions	74.9	62.0	12.9	0.1722	1.3e-21	5.5e-18	1.3e-21	0.086	0.055	231	271	0.435	517	SPRG_17875	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein (Fragment)	unassigned	unassigned	itpr_arch_weak=2/5	2	SAR	0
A0A067C0I0	ITPR	high	architecture	itpr.hmm wins by 626.4 bits (71.3% of 878.4) over 2289 profile positions	878.4	252.0	626.4	0.7131	8.3e-264	3.1e-75	8.3e-264	0.853	0.201	2289	991	0.899	2700	SPRG_22304	Saprolegnia parasitica (strain CBS 223.65)	695850	0	MIR domain-containing protein	ITPR	ITPR	itpr_arch_partial=4/5;length_in_band	4	SAR	0
A0A067C0Y4	unassigned	none	module	itpr.hmm matched only 118 profile positions (< 200) — a shared module, not a family assignment	56.7	0.0	56.7	1.0	4e-16		4e-16	0.044	0.0	118	0	0.854	144	SPRG_14005	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	unassigned	unassigned	itpr_arch_weak=1/5	1	SAR	0
A0A067C1N9	ITPR	high	architecture	itpr.hmm wins by 602.7 bits (69.8% of 863.4) over 1567 profile positions	863.4	260.7	602.7	0.6981	2.6e-259	7.5e-78	2.6e-259	0.584	0.127	1567	626	0.734	2168	SPRG_14004	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein	ITPR	ITPR	itpr_arch_partial=3/5;length_in_band	3	SAR	0
A0A067C5H2	unassigned	none	module	itpr.hmm matched only 132 profile positions (< 200) — a shared module, not a family assignment	43.4	0.0	43.4	1.0	4e-12		4e-12	0.049	0.0	132	0	0.852	142	SPRG_09784	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Inositol 1,4,5-trisphosphate/ryanodine receptor domain-containing protein	unassigned	unassigned	itpr_arch_weak=1/5	1	SAR	0
A0A067C7T7	ITPR	high	architecture	itpr.hmm wins by 486.9 bits (68.6% of 710.1) over 2112 profile positions	710.1	223.2	486.9	0.6857	4.3e-213	1.4e-66	4.3e-213	0.787	0.172	2112	848	0.809	2775	SPRG_12592	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	ITPR	ITPR	itpr_arch_partial=4/5;length_in_band	4	SAR	0
A0A067CP00	ITPR	high	architecture	itpr.hmm wins by 663.9 bits (72.8% of 911.6) over 1589 profile positions	911.6	247.7	663.9	0.7283	8e-274	6.2e-74	8e-274	0.592	0.125	1589	616	0.965	1873	SPRG_03410	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein	unassigned	unassigned	itpr_arch_weak=2/5	2	SAR	0
A0A067CSU7	ITPR	high	architecture	itpr.hmm wins by 308.3 bits (76.6% of 402.7) over 1519 profile positions	402.7	94.4	308.3	0.7656	2e-120	9.3e-28	2e-120	0.566	0.153	1519	754	0.797	1905	SPRG_04939	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	unassigned	unassigned	itpr_arch_partial=4/5	4	SAR	0
A0A067CX89	unassigned	none	module	itpr.hmm matched only 161 profile positions (< 200) — a shared module, not a family assignment	52.4	0.0	52.4	1.0	7.9e-15		7.9e-15	0.06	0.0	161	0	0.369	407	SPRG_00158	Saprolegnia parasitica (strain CBS 223.65)	695850	0	RyR/IP3R Homology associated domain-containing protein (Fragment)	unassigned	unassigned	itpr_arch_weak=1/5	1	SAR	0
A0A067CZC0	ITPR	medium	partial	itpr.hmm wins by 238.3 bits (61.7% of 386.1) over 1224 profile positions	386.1	147.8	238.3	0.6172	2e-115	7.7e-44	2e-115	0.456	0.052	1224	256	0.446	2875	SPRG_00668	Saprolegnia parasitica (strain CBS 223.65)	695850	0	Uncharacterized protein	ITPR	ITPR	itpr_arch_partial=3/5;length_in_band	3	SAR	0
A0A067CZJ8	ITPR	medium	partial	itpr.hmm wins by 321.5 bits (78.9% of 407.6) over 875 profile positions	407.6	86.1	321.5	0.7888	6.8e-122	3e-25	6.8e-122	0.326	0.065	875	320	0.836	1070	SPRG_03409	Saprolegnia parasitica (strain CBS 223.65)	695850	0	MIR domain-containing protein	unassigned	unassigned	itpr_arch_weak=2/5	2	SAR	0
A0A067QF10	unassigned	none	module	ryr.hmm matched only 99 profile positions (< 200) — a shared module, not a family assignment	43.8	170.6	126.8	0.7433	3e-12	1e-50	1e-50	0.031	0.02	83	99	0.909	110	L798_05245	Zootermopsis nevadensis	136037	0	Ryanodine receptor 44F	unassigned	unassigned	itpr_arch_weak=1/5	1	Metazoa (non-vertebrate)	0
A0A067QFR8	RYR	medium	partial	ryr.hmm wins by 593.5 bits (89.6% of 662.3) over 419 profile positions	68.8	662.3	593.5	0.8961	8.8e-20	8.1e-199	8.1e-199	0.115	0.085	309	419	0.962	444	L798_04426	Zootermopsis nevadensis	136037	0	Ryanodine receptor 44F	unassigned	unassigned	itpr_arch_weak=1/5	1	Metazoa (non-vertebrate)	0
A0A067QPY8	unassigned	none	module	ryr.hmm matched only 84 profile positions (< 200) — a shared module, not a family assignment	35.6	150.1	114.5	0.7628	8.9e-10	1.5e-44	1.5e-44	0.03	0.017	81	84	0.902	92	L798_05244	Zootermopsis nevadensis	136037	0	Ryanodine receptor 44F	unassigned	unassigned	itpr_arch_weak=1/5	1	Metazoa (non-vertebrate)	0
A0A068Y0W3	RYR	high	architecture	ryr.hmm wins by 3771.0 bits (87.8% of 4293.4) over 3929 profile positions	522.4	4293.4	3771.0	0.8783	1.6e-156	0	0	0.436	0.797	1170	3929	0.93	4760	EmuJ_000544400	Echinococcus multilocularis	6211	0	Ryanodine receptor 44f	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	3	Metazoa (non-vertebrate)	0
A0A068Y4L9	RYR	medium	partial	ryr.hmm wins by 927.3 bits (84.1% of 1103.1) over 853 profile positions	175.8	1103.1	927.3	0.8406	4.8e-52	0	0	0.219	0.173	588	853	0.991	928	EmuJ_000544500	Echinococcus multilocularis	6211	0	Ryanodine receptor 44f	RYR	RYR	ryr_pfam=PF00622+PF02026	3	Metazoa (non-vertebrate)	0
A0A074Z731	ITPR	high	architecture	itpr.hmm wins by 1333.2 bits (82.5% of 1616.8) over 2295 profile positions	1616.8	283.6	1333.2	0.8246	0	9.6e-85	0	0.855	0.21	2295	1035	0.937	2826	T265_14735	Opisthorchis viverrini	6198	0	Inositol 1,4,5-trisphosphate receptor (Fragment)	ITPR	ITPR	itpr_arch_partial=4/5;length_in_band	4	Metazoa (non-vertebrate)	0
A0A075A5M8	RYR	high	architecture	ryr.hmm wins by 4243.8 bits (88.0% of 4821.9) over 4452 profile positions	578.1	4821.9	4243.8	0.8801	2.7e-173	0	0	0.593	0.903	1592	4452	0.917	5727	T265_09254	Opisthorchis viverrini	6198	0	Uncharacterized protein	RYR	RYR	ryr_pfam=PF00622+PF02026+PF06459+PF21119	4	Metazoa (non-vertebrate)	0
