stratum	cell_a	cell_b	metric	n_pairs	n_a_greater	n_b_greater	n_ties	median_diff	p	q
Mammalia	ITPR1	ITPR2	mean_exon_bp	30	0	30	0	-4.3	1.86265e-09	0
Mammalia	ITPR1	ITPR2	total_intron_bp	30	0	30	0	-169588	1.86265e-09	0
Mammalia	ITPR1	ITPR3	n_exons	30	30	0	0	2	1.86265e-09	0
Mammalia	ITPR1	ITPR3	cds_bp	30	30	0	0	255	1.86265e-09	0
Mammalia	ITPR1	ITPR3	span_bp	30	30	0	0	249932	1.86265e-09	0
Mammalia	ITPR1	ITPR3	median_intron_bp	30	30	0	0	1661	1.86265e-09	0
Mammalia	ITPR1	ITPR3	max_intron_bp	30	30	0	0	83797	1.86265e-09	0
Mammalia	ITPR1	ITPR3	mean_exon_bp	30	1	28	1	-0.4	1.11759e-07	0
Mammalia	ITPR1	ITPR3	total_intron_bp	30	30	0	0	249678	1.86265e-09	0
Mammalia	ITPR1	RYR	n_exons	30	0	30	0	-44	1.86265e-09	0
Mammalia	ITPR1	RYR	cds_bp	30	0	30	0	-6638.5	1.86265e-09	0
Mammalia	ITPR1	RYR	span_bp	30	6	24	0	-315738	0.00143091	0.001541
Mammalia	ITPR1	RYR	median_intron_bp	30	18	12	0	113	0.361595	0.361595
Mammalia	ITPR1	RYR	max_intron_bp	30	6	24	0	-74785	0.00143091	0.001541
Mammalia	ITPR1	RYR	mean_exon_bp	30	0	30	0	-6.5	1.86265e-09	0
Mammalia	ITPR1	RYR	total_intron_bp	30	6	24	0	-309102	0.00143091	0.001541
Mammalia	ITPR2	ITPR3	n_exons	30	0	28	2	-1	7.45058e-09	0
Mammalia	ITPR2	ITPR3	cds_bp	30	30	0	0	90	1.86265e-09	0
Mammalia	ITPR2	ITPR3	span_bp	30	30	0	0	418975	1.86265e-09	0
Mammalia	ITPR2	ITPR3	median_intron_bp	30	30	0	0	2761.5	1.86265e-09	0
Mammalia	ITPR2	ITPR3	max_intron_bp	30	30	0	0	45580.5	1.86265e-09	0
Mammalia	ITPR2	ITPR3	mean_exon_bp	30	30	0	0	4	1.86265e-09	0
Mammalia	ITPR2	ITPR3	total_intron_bp	30	30	0	0	418886	1.86265e-09	0
Mammalia	ITPR2	RYR	n_exons	30	0	30	0	-47	1.86265e-09	0
Mammalia	ITPR2	RYR	cds_bp	30	0	30	0	-6807	1.86265e-09	0
Mammalia	ITPR2	RYR	span_bp	30	6	24	0	-164258	0.00143091	0.001541
Mammalia	ITPR2	RYR	median_intron_bp	30	30	0	0	1418.8	1.86265e-09	0
Mammalia	ITPR2	RYR	max_intron_bp	30	6	24	0	-120670	0.00143091	0.001541
Mammalia	ITPR2	RYR	mean_exon_bp	30	9	21	0	-1.4	0.0427739	0.043817
Mammalia	ITPR2	RYR	total_intron_bp	30	7	23	0	-157446	0.00522288	0.005484
Mammalia	ITPR3	RYR	n_exons	30	0	30	0	-46	1.86265e-09	0
Mammalia	ITPR3	RYR	cds_bp	30	0	30	0	-6896.5	1.86265e-09	0
Mammalia	ITPR3	RYR	span_bp	30	3	27	0	-545852	8.43033e-06	1.1e-05
Mammalia	ITPR3	RYR	median_intron_bp	30	3	27	0	-1358	8.43033e-06	1.1e-05
Mammalia	ITPR3	RYR	max_intron_bp	30	6	24	0	-162332	0.00143091	0.001541
Mammalia	ITPR3	RYR	mean_exon_bp	30	0	30	0	-5.5	1.86265e-09	0
Mammalia	ITPR3	RYR	total_intron_bp	30	3	27	0	-538933	8.43033e-06	1.1e-05
